scientific_name,module_id,evidence_state,source_ids,evidence_traits,first_pass_status,tested_negative_status,notes
Eubalaena glacialis,A,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Eubalaena glacialis,B,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Eubalaena glacialis,C,positive,pmid:31370578,calving-ground acoustic behavior,evidence_located,not_searched,Direct acoustic behavior evidence; not evidence for cumulative vocal culture.
Eubalaena glacialis,D,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Eubalaena glacialis,E,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Eubalaena glacialis,F,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Dasyurus maculatus,A,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Dasyurus maculatus,B,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Dasyurus maculatus,C,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Dasyurus maculatus,D,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Dasyurus maculatus,E,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Dasyurus maculatus,F,not_located_first_pass,,,scientific_name_plus_common_name_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species evidence located in first-pass plus common-name fallback; missing is not biological absence.
Macropus antilopinus,A,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,B,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,C,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,D,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,E,pending_first_pass,,,pending,not_searched,
