person_id,canonical_name,birth_year,death_year,identity_status,verified_openalex_ids,cluster_completeness,network_observable,strong_identifier_evidence,known_work_match_n,institution_match,coauthor_match,topic_field_match,career_timing_match,conflicting_orcid,reviewer,second_reviewer,adjudication_status,mh_blinded_at_identity_lock,review_date,notes
cv_Q41981653,Ianthe Blyden,1899,1984,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q5540597,George Higoumenakis,1895,1983,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q109734,Philipp Schaeffer,1894,1943,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q400678,Ahmad Kasravi,1890,1946,PROVISIONAL_CLUSTER,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=possible_author_fragmentation; plausible_openalex_ids=https://openalex.org/A5038227675;https://openalex.org/A5021309135;https://openalex.org/A5060749627
cv_Q41907808,Hilda Bowen,1923,2002,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q1729753,Karl-Franz Busch,1917,2003,PROVISIONAL_SINGLE,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=single_plausible_author_record; plausible_openalex_ids=https://openalex.org/A5000693352
cv_Q6240621,John I. Yellott,1908,1986,PROVISIONAL_SINGLE,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=single_plausible_author_record; plausible_openalex_ids=https://openalex.org/A5062000241
cv_Q510562,Mary Alice McWhinnie,1922,1980,PROVISIONAL_SINGLE,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=single_plausible_author_record; plausible_openalex_ids=https://openalex.org/A5027968083
cv_Q24287044,Hilario Hernández Gurruchaga,1936,2010,PROVISIONAL_CLUSTER,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=possible_author_fragmentation; plausible_openalex_ids=https://openalex.org/A5061977537;https://openalex.org/A5056054563
cv_Q47504806,Hannah Gavron,1936,1965,PROVISIONAL_CLUSTER,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=possible_author_fragmentation; plausible_openalex_ids=https://openalex.org/A5045375977;https://openalex.org/A5022384208;https://openalex.org/A5007903755;https://openalex.org/A5022283131;https://openalex.org/A5059743738
cv_Q5932286,Dan Laksov,1940,2013,PROVISIONAL_SINGLE,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=single_plausible_author_record; plausible_openalex_ids=https://openalex.org/A5026699275
cv_Q3076441,James S. Albus,1935,2011,PROVISIONAL_CLUSTER,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=possible_author_fragmentation; plausible_openalex_ids=https://openalex.org/A5005954880;https://openalex.org/A5034117885
cv_Q53844925,José Luis Juárez Villarín,1955,2018,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q1354374,Erika Greber,1952,2011,PROVISIONAL_CLUSTER,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=possible_author_fragmentation; plausible_openalex_ids=https://openalex.org/A5022335594;https://openalex.org/A5001507924;https://openalex.org/A5023166726;https://openalex.org/A5050304122;https://openalex.org/A5027521665;https://openalex.org/A5030047963
cv_Q6213800,Joel Olson,1967,2012,PROVISIONAL_CLUSTER,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,pending,,2026-09-18,pre-exposure pilot30 triage; review_class=possible_author_fragmentation; plausible_openalex_ids=https://openalex.org/A5010615096;https://openalex.org/A5049721130;https://openalex.org/A5033120445;https://openalex.org/A5085593234;https://openalex.org/A5024580994;https://openalex.org/A5003506124;https://openalex.org/A5083372267
cv_Q7329866,Richard Webster (British author),1950,2011,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
cv_Q14666387,John Wishart (surgeon),1850,1926,NO_GRAPH_RECORD,,,false,,0,false,false,false,false,false,ARIS4C pre-exposure triage,,protocol-derived,true,2026-09-18,pre-exposure pilot30 triage; review_class=no_openalex_search_hit
